Instrument type : Porosimeter 2000							
0.039	57.800	19.051	52.030	0.090			
0.040	58.000	18.956	52.210	0.180			
0.040	58.100	18.909	52.300	0.090			
0.040	58.200	18.863	52.390	0.090			
0.040	58.400	18.817	52.570	0.180			
0.040	58.500	18.677	52.660	0.090			
0.040	58.800	18.633	52.930	0.270			
0.040	58.900	18.588	53.020	0.090			
0.040	59.000	18.543	53.110	0.090			
0.041	59.100	18.498	53.200	0.090			
0.041	59.200	18.408	53.290	0.090			
0.041	59.300	18.319	53.380	0.090			
0.041	59.500	18.276	53.560	0.180			
0.041	59.600	18.188	53.650	0.090			
0.041	59.700	18.145	53.740	0.090			
0.041	59.800	18.102	53.830	0.090			
0.042	59.900	18.016	53.920	0.090			
0.042	60.000	17.973	54.010	0.090			
0.042	60.100	17.931	54.100	0.090			
0.042	60.200	17.846	54.190	0.090			
0.042	60.300	17.805	54.280	0.090			
0.042	60.500	17.764	54.460	0.180			
0.042	60.600	17.723	54.550	0.090			
0.042	60.700	17.682	54.640	0.090			
0.043	60.800	17.641	54.730	0.090			
0.043	60.900	17.600	54.820	0.090			
0.043	61.000	17.519	54.910	0.090			
0.043	61.100	17.479	55.000	0.090			
0.043	61.200	17.439	55.090	0.090			
0.043	61.300	17.359	55.180	0.090			
0.043	61.400	17.320	55.270	0.090			
0.043	61.500	17.241	55.360	0.090			
0.044	61.600	17.162	55.450	0.090			
0.044	61.700	17.124	55.540	0.090			
0.044	61.800	17.086	55.630	0.090			
0.044	61.900	17.009	55.720	0.090			
0.044	62.000	16.971	55.810	0.090			
0.044	62.100	16.895	55.900	0.090			
0.044	62.200	16.858	55.990	0.090			
0.045	62.300	16.821	56.080	0.090			
0.045	62.400	16.746	56.170	0.090			
0.045	62.600	16.710	56.350	0.180			
0.045	62.700	16.674	56.440	0.090			
0.045	62.800	16.601	56.530	0.090			
0.045	62.900	16.565	56.620	0.090			
0.045	63.000	16.529	56.710	0.090			
0.045	63.100	16.457	56.800	0.090			
0.046	63.400	16.387	57.070	0.270			
0.046	63.600	16.353	57.250	0.180			
0.046	63.700	16.282	57.340	0.090			
0.046	63.800	16.248	57.430	0.090			
0.046	63.900	16.213	57.520	0.090			
0.046	64.100	16.180	57.700	0.180			
0.046	64.200	16.145	57.790	0.090			
0.047	64.300	16.077	57.880	0.090			
0.047	64.400	16.043	57.970	0.090			
0.047	64.500	15.975	58.060	0.090			
0.047	64.700	15.875	58.240	0.180			
0.047	64.800	15.809	58.330	0.090			
0.048	64.900	15.710	58.420	0.090			
0.048	65.000	15.645	58.510	0.090			
0.048	65.100	15.613	58.600	0.090			
0.048	65.200	15.581	58.690	0.090			
0.048	65.300	15.549	58.780	0.090			
0.048	65.400	15.486	58.870	0.090			
0.049	65.500	15.454	58.960	0.090			
0.049	65.600	15.423	59.050	0.090			
0.049	65.700	15.360	59.140	0.090			
0.049	65.800	15.298	59.230	0.090			
0.049	65.900	15.268	59.320	0.090			
0.049	66.000	15.237	59.410	0.090			
0.049	66.100	15.176	59.500	0.090			
0.050	66.200	15.085	59.590	0.090			
0.050	66.300	15.055	59.680	0.090			
0.050	66.400	14.996	59.770	0.090			
0.050	66.500	14.936	59.860	0.090			
0.050	66.600	14.907	59.950	0.090			
0.050	66.700	14.878	60.040	0.090			
0.051	66.800	14.820	60.130	0.090			
0.051	66.900	14.791	60.220	0.090			
0.051	67.000	14.734	60.310	0.090			
0.051	67.100	14.676	60.400	0.090			
0.051	67.200	14.620	60.490	0.090			
0.051	67.300	14.592	60.580	0.090			
0.052	67.400	14.536	60.670	0.090			
0.052	67.500	14.508	60.760	0.090			
0.052	67.600	14.481	60.850	0.090			
0.052	67.700	14.398	60.940	0.090			
0.052	67.800	14.343	61.030	0.090			
0.052	67.900	14.316	61.120	0.090			
0.052	68.000	14.289	61.210	0.090			
0.053	68.100	14.236	61.300	0.090			
0.053	68.200	14.182	61.390	0.090			
0.053	68.300	14.156	61.480	0.090			
0.053	68.400	14.103	61.570	0.090			
0.053	68.500	14.051	61.660	0.090			
0.054	68.600	13.999	61.750	0.090			
0.054	68.700	13.973	61.840	0.090			
0.054	68.800	13.870	61.930	0.090			
0.054	69.000	13.820	62.110	0.180			
0.054	69.100	13.770	62.200	0.090			
0.054	69.200	13.745	62.290	0.090			
0.055	69.300	13.695	62.380	0.090			
0.055	69.400	13.572	62.470	0.090			
0.055	69.500	13.523	62.560	0.090			
0.056	69.600	13.475	62.650	0.090			
0.056	69.700	13.427	62.740	0.090			
0.056	69.800	13.404	62.830	0.090			
0.056	69.900	13.356	62.920	0.090			
0.056	70.000	13.333	63.010	0.090			
0.056	70.100	13.286	63.100	0.090			
